encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
3177,Vorasius,VS / DR / MQD,4,Heroic,2,42.1,100.0,0.0,0.0,0,0,2,0,42.1,0.0
3178,Vaelgor & Ezzorak,VS / DR / MQD,4,Heroic,11,51.6,90.9,9.1,0.0,0,3,5,3,51.6,0.0
3180,Lightblinded Vanguard,VS / DR / MQD,4,Heroic,1,5.8,100.0,0.0,0.0,0,0,1,0,5.8,0.0
3181,Crown of the Cosmos,VS / DR / MQD,4,Heroic,20,40.4,15.0,60.0,25.0,0,3,6,11,40.4,0.0
3182,"Belo'ren, Child of Al'ar",VS / DR / MQD,4,Heroic,13,39.6,92.3,7.7,0.0,0,6,7,0,70.2,30.62
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,4,Heroic,3,37.9,33.3,66.7,0.0,0,1,0,2,37.9,0.0
3176,Imperator Averzian,VS / DR / MQD,5,Mythic,8,45.7,100.0,0.0,0.0,1,3,2,2,57.7,12.0
3177,Vorasius,VS / DR / MQD,5,Mythic,18,37.5,100.0,0.0,0.0,1,4,5,8,46.8,9.3
3178,Vaelgor & Ezzorak,VS / DR / MQD,5,Mythic,31,65.3,90.3,9.7,0.0,1,16,12,2,65.3,0.0
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,18,34.1,94.4,5.6,0.0,1,4,3,10,29.2,-4.95
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,18,65.0,27.8,72.2,0.0,1,9,8,0,46.0,-19.01
